id,alter,kategoriealter,geschlecht,bsz,bszkat,bszkat2,sorgen,sorgenkat,verzicht,verzicht-cat,preis,preis-cat,nachttisch,nachttisch-cat,tagohnehandy,tagohnehandy-cat,facebook,faceb-cat,insta,insta-cat,schutzmechanismen,tutetwas,tutetwas-cat
65,17,3,Maennlich,3h-4h,4,16,Stimmt eher,2, 20 CHF,1,11-20 CHF,4,eher Ja,2,Stimmt eher ,2,Weiss nicht,0,eher Nein,3,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
66,15,2,Maennlich,2h-3h,3,9,Stimmt ganz,1,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,eher Ja,2,Stimmt,1,Nein,4,Nein,4,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
67,14,2,Maennlich,3h-4h,4,16,Stimmt gar nicht,4,50 CHF,1,3-5 CHF,2,eher Ja,2,Stimmt eher ,2,Weiss nicht,0,eher Nein,3,1,Aktiv sicherer Messenger,1
68,47,6,Maennlich,1h-2h,2,4,Stimmt eher,2,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,Nein,4,Stimmt eher nicht,3,Nein,4,Nein,4,0,Aktiv sicherer Messenger,1
69,15,2,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3,50 CHF,1, 1-2 CHF,1,eher Ja,2,Stimmt eher ,2,Weiss nicht,0,eher Ja,2,0,Gar keine Massnahmen,3
70,14,2,Weiblich,1h-2h,2,4,Stimmt eher nicht,3,50 CHF,1, 1-2 CHF,1,Nein,4,Stimmt,1,Nein,4,eher Ja,2,0,Aktiv sicherer Messenger,1
71,39,6,Maennlich,1h-2h,2,4,Stimmt eher,2,Würde ich auch gratis machen,0,Mehr als 20 CHF,5,eher Ja,2,Stimmt eher nicht,3,Ja,1,eher Ja,2,0,Gar keine Massnahmen,3
72,15,2,Weiblich,4h-5h,5,25,Stimmt eher nicht,3, 100 CHF,2,Mehr als 20 CHF,5,Ja,1,Stimmt,1,Weiss nicht,0,eher Ja,2,0,Gar keine Massnahmen,3
73,49,6,Maennlich,2h-3h,3,9,Stimmt eher,2, 100 CHF,2,Ich würde auf die App verzichten,0,eher Nein,3,Stimmt,1,Nein,4,Nein,4,1,Aktiv sicherer Messenger,1
74,18,4,Maennlich,3h-4h,4,16,Stimmt eher,2, 20 CHF,1,Ich würde auf die App verzichten,0,eher Ja,2,Stimmt eher ,2,Nein,4,eher Nein,3,1,Aktiv sicherer Messenger,1
75,15,2,Weiblich,2h-3h,3,9,Stimmt eher,2,Würde ich auch gratis machen,0,3-5 CHF,2,eher Ja,2,Stimmt,1,eher Nein,3,eher Ja,2,0,Gar keine Massnahmen,3
76,27,5,Weiblich,weniger als 1h,1,1,Stimmt eher,2,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,eher Ja,2,Stimmt,1,Nein,4,Weiss nicht,0,1,Aktiv sicherer Messenger,1
77,29,5,Weiblich,1h-2h,2,4,Stimmt eher,2, über  100 CHF,3,11-20 CHF,4,Ja,1,Stimmt eher nicht,3,eher Nein,3,eher Nein,3,0,Gar keine Massnahmen,3
78,15,2,Weiblich,1h-2h,2,4,Stimmt ganz,1,Würde ich auch gratis machen,0,Mehr als 20 CHF,5,eher Ja,2,Stimmt eher ,2,Weiss nicht,0,Nein,4,1,Aktiv sicherer Messenger,1
79,46,6,Maennlich,1h-2h,2,4,Stimmt eher,2,Würde ich auch gratis machen,0,3-5 CHF,2,eher Ja,2,Stimmt,1,Nein,4,Weiss nicht,0,0,Aktiv sicherer Messenger,1
80,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3,50 CHF,1,3-5 CHF,2,Nein,4,Stimmt eher ,2,Nein,4,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
81,19,4,Maennlich,2h-3h,3,9,Stimmt ganz,1,50 CHF,1,Ich würde auf die App verzichten,0,eher Nein,3,Stimmt eher ,2,Nein,4,eher Nein,3,1,Aktiv sicherer Messenger,1
82,50,6,Weiblich,2h-3h,3,9,Stimmt eher nicht,3, über  100 CHF,3,Ich würde auf die App verzichten,0,Ja,1,Stimmt nicht,4,eher Ja,2,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
83,50,6,Weiblich,weniger als 1h,1,1,Stimmt ganz,1, über  100 CHF,3,Ich würde auf die App verzichten,0,Ja,1,Stimmt eher nicht,3,eher Ja,2,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
84,52,6,Weiblich,1h-2h,2,4,Stimmt ganz,1,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,eher Ja,2,Stimmt eher nicht,3,Nein,4,Nein,4,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
85,53,6,Weiblich,1h-2h,2,4,Stimmt eher nicht,3,50 CHF,1,3-5 CHF,2,Ja,1,Stimmt,1,eher Nein,3,eher Nein,3,0,Gar keine Massnahmen,3
86,50,6,Maennlich,1h-2h,2,4,Stimmt eher,2, über  100 CHF,3,Mehr als 20 CHF,5,Ja,1,Stimmt nicht,4,Nein,4,Nein,4,1,Aktiv sicherer Messenger,1
87,38,6,Weiblich,3h-4h,4,16,Stimmt eher,2, über  100 CHF,3,6-10 CHF,3,eher Ja,2,Stimmt eher ,2,eher Nein,3,eher Nein,3,0,Gar keine Massnahmen,3
88,15,2,Weiblich,4h-5h,5,25,Stimmt eher,2,50 CHF,1, 1-2 CHF,1,Nein,4,Stimmt,1,Nein,4,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
89,41,6,Maennlich,2h-3h,3,9,Stimmt eher,2, über  100 CHF,3,Mehr als 20 CHF,5,eher Ja,2,Stimmt,1,eher Nein,3,eher Nein,3,1,Aktiv sicherer Messenger,1
90,25,5,Weiblich,weniger als 1h,1,1,Stimmt eher,2,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,eher Ja,2,Stimmt,1,eher Nein,3,eher Nein,3,1,Aktiv sicherer Messenger,1
91,42,6,Weiblich,1h-2h,2,4,Stimmt eher,2, 100 CHF,2,Ich würde auf die App verzichten,0,eher Nein,3,Stimmt eher ,2,Nein,4,Nein,4,0,Gar keine Massnahmen,3
92,43,6,Weiblich,1h-2h,2,4,Stimmt ganz,1,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,Ja,1,Stimmt,1,Nein,4,Nein,4,1,Aktiv sicherer Messenger,1
93,46,6,Maennlich,weniger als 1h,1,1,Stimmt eher,2,Würde ich auch gratis machen,0,3-5 CHF,2,Ja,1,Stimmt eher ,2,eher Nein,3,Weiss nicht,0,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
94,47,6,Weiblich,1h-2h,2,4,Stimmt ganz,1,50 CHF,1, 1-2 CHF,1,Nein,4,Stimmt eher nicht,3,eher Nein,3,Weiss nicht,0,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
95,52,6,Weiblich,weniger als 1h,1,1,Stimmt eher,2,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,Ja,1,Stimmt,1,eher Nein,3,eher Nein,3,0,Gar keine Massnahmen,3
96,17,3,Maennlich,Mehr als 5h,6,36,Stimmt ganz,1,Würde ich auch gratis machen,0,3-5 CHF,2,eher Ja,2,Stimmt,1,Nein,4,Nein,4,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
97,29,5,Weiblich,1h-2h,2,4,Stimmt eher nicht,3, 100 CHF,2,Mehr als 20 CHF,5,Nein,4,Stimmt eher nicht,3,Nein,4,Nein,4,1,Aktiv sicherer Messenger,1
98,56,6,Maennlich,weniger als 1h,1,1,Stimmt eher,2,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,Nein,4,Stimmt eher ,2,Weiss nicht,0,Weiss nicht,0,0,Gar keine Massnahmen,3
99,26,5,Weiblich,2h-3h,3,9,Stimmt eher,2, 100 CHF,2,3-5 CHF,2,Ja,1,Stimmt eher ,2,eher Ja,2,eher Nein,3,1,Aktiv sicherer Messenger,1
100,16,3,Maennlich,4h-5h,5,25,Stimmt eher nicht,3,Würde ich auch gratis machen,0,11-20 CHF,4,Ja,1,Stimmt,1,Nein,4,Nein,4,0,Gar keine Massnahmen,3
101,15,2,Weiblich,1h-2h,2,4,Stimmt gar nicht,4, 100 CHF,2,Mehr als 20 CHF,5,Ja,1,Stimmt eher nicht,3,eher Nein,3,eher Ja,2,0,Aktiv sicherer Messenger,1
102,16,3,Weiblich,2h-3h,3,9,Stimmt ganz,1,50 CHF,1,Ich würde auf die App verzichten,0,eher Ja,2,Stimmt,1,eher Ja,2,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
103,15,2,Maennlich,1h-2h,2,4,Stimmt eher nicht,3,Würde ich auch gratis machen,0,6-10 CHF,3,Ja,1,Stimmt,1,Weiss nicht,0,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
104,16,3,Maennlich,4h-5h,5,25,Stimmt eher nicht,3, über  100 CHF,3,3-5 CHF,2,Ja,1,Stimmt eher ,2,eher Nein,3,eher Nein,3,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
105,15,2,Maennlich,3h-4h,4,16,Stimmt eher,2,Würde ich auch gratis machen,0, 1-2 CHF,1,eher Ja,2,Stimmt,1,Weiss nicht,0,eher Ja,2,0,Aktiv sicherer Messenger,1
106,16,3,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,Ja,1,Stimmt,1,Weiss nicht,0,Ja,1,0,Gar keine Massnahmen,3
107,16,3,Maennlich,3h-4h,4,16,Stimmt gar nicht,4,50 CHF,1,Ich würde auf die App verzichten,0,eher Nein,3,Stimmt eher nicht,3,Nein,4,Nein,4,1,Aktiv sicherer Messenger,1
108,15,2,Maennlich,2h-3h,3,9,Stimmt eher nicht,3, über  100 CHF,3,11-20 CHF,4,Nein,4,Stimmt,1,Weiss nicht,0,Ja,1,1,Aktiv sicherer Messenger,1
109,16,3,Weiblich,Mehr als 5h,6,36,Stimmt eher,2,50 CHF,1,11-20 CHF,4,eher Nein,3,Stimmt,1,Nein,4,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
110,16,3,Weiblich,4h-5h,5,25,Stimmt ganz,1, über  100 CHF,3,Ich würde auf die App verzichten,0,Nein,4,Stimmt eher nicht,3,Nein,4,eher Nein,3,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
111,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3, 100 CHF,2,11-20 CHF,4,Ja,1,Stimmt eher nicht,3,Nein,4,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
112,16,3,Maennlich,1h-2h,2,4,Stimmt eher nicht,3,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,Ja,1,Stimmt eher nicht,3,Nein,4,Nein,4,0,Aktiv sicherer Messenger,1
113,15,2,Weiblich,2h-3h,3,9,Stimmt eher nicht,3, über  100 CHF,3,11-20 CHF,4,eher Nein,3,Stimmt eher ,2,Weiss nicht,0,eher Ja,2,0,Gar keine Massnahmen,3
114,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3, 100 CHF,2,3-5 CHF,2,Ja,1,Stimmt,1,Nein,4,eher Nein,3,0,Gar keine Massnahmen,3
115,16,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3,Würde ich auch gratis machen,0, 1-2 CHF,1,eher Ja,2,Stimmt eher nicht,3,eher Ja,2,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
116,15,2,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3, über  100 CHF,3,Ich würde auf die App verzichten,0,Ja,1,Stimmt eher nicht,3,Nein,4,eher Nein,3,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
117,15,2,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3, 20 CHF,1,Ich würde auf die App verzichten,0,Ja,1,Stimmt,1,Weiss nicht,0,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
119,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,50 CHF,1,11-20 CHF,4,Ja,1,Stimmt,1,eher Ja,2,eher Ja,2,0,Gar keine Massnahmen,3
120,16,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3, über  100 CHF,3,3-5 CHF,2,eher Ja,2,Stimmt,1,eher Ja,2,eher Nein,3,0,Gar keine Massnahmen,3
121,15,2,Weiblich,3h-4h,4,16,Stimmt eher nicht,3, 100 CHF,2,6-10 CHF,3,eher Ja,2,Stimmt eher ,2,eher Nein,3,eher Nein,3,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
122,15,2,Non-Binaer,3h-4h,4,16,Stimmt eher,2, über  100 CHF,3,3-5 CHF,2,eher Ja,2,Stimmt eher nicht,3,eher Nein,3,eher Nein,3,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
123,16,3,Maennlich,2h-3h,3,9,Stimmt eher,2,50 CHF,1,Ich würde auf die App verzichten,0,eher Ja,2,Stimmt eher ,2,Nein,4,eher Nein,3,1,Aktiv sicherer Messenger,1
124,15,2,Weiblich,3h-4h,4,16,Stimmt eher,2,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,Nein,4,Stimmt,1,Weiss nicht,0,eher Ja,2,0,Gar keine Massnahmen,3
125,14,2,Weiblich,1h-2h,2,4,Stimmt eher nicht,3, 100 CHF,2,3-5 CHF,2,eher Nein,3,Stimmt,1,Weiss nicht,0,eher Ja,2,0,Gar keine Massnahmen,3
126,15,2,Weiblich,Mehr als 5h,6,36,Stimmt gar nicht,4, über  100 CHF,3,11-20 CHF,4,eher Ja,2,Stimmt,1,Nein,4,eher Ja,2,0,Gar keine Massnahmen,3
127,17,3,Non-Binaer,3h-4h,4,16,Stimmt eher nicht,3,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,Nein,4,Stimmt,1,Nein,4,eher Nein,3,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
128,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3, über  100 CHF,3,Ich würde auf die App verzichten,0,Ja,1,Stimmt eher ,2,Weiss nicht,0,eher Nein,3,0,Aktiv sicherer Messenger,1
129,14,2,Weiblich,3h-4h,4,16,Stimmt eher,2, über  100 CHF,3,Ich würde auf die App verzichten,0,Nein,4,Stimmt eher ,2,Weiss nicht,0,eher Nein,3,0,Gar keine Massnahmen,3