id,jahr,alter,kategoriealter,geschlecht,bsz,bszkat,bszkat2,sorgen,sorgenkat
1,2021,30,6,Maennlich,2h-3h,3,9,Stimmt ganz,1
2,2021,15,2,Maennlich,4h-5h,5,25,Stimmt gar nicht,4
3,2021,14,2,Maennlich,4h-5h,5,25,Stimmt eher,2
4,2021,15,2,Maennlich,4h-5h,5,25,Stimmt eher,2
5,2021,32,6,Maennlich,1h-2h,2,4,Stimmt ganz,1
6,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher,2
7,2021,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
8,2021,16,3,Maennlich,4h-5h,5,25,Stimmt eher,2
9,2021,18,4,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
10,2021,18,4,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3
11,2021,18,4,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
12,2021,16,3,Weiblich,4h-5h,5,25,Stimmt eher nicht,3
13,2021,21,5,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
14,2021,17,3,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3
15,2021,20,5,Weiblich,1h-2h,2,4,Stimmt eher,2
16,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3
17,2021,17,3,Maennlich,Mehr als 5h,6,36,Stimmt eher,2
18,2021,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
19,2021,19,4,Weiblich,4h-5h,5,25,Stimmt eher,2
20,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher,2
21,2021,18,4,Weiblich,3h-4h,4,16,Stimmt eher,2
22,2021,20,5,Weiblich,3h-4h,4,16,Stimmt eher,2
23,2021,17,3,Weiblich,1h-2h,2,4,Stimmt eher,2
24,2021,42,6,Maennlich,weniger als 1h,1,1,Stimmt eher,2
25,2021,18,4,Maennlich,2h-3h,3,9,Stimmt gar nicht,4
26,2021,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
27,2021,17,3,Weiblich,2h-3h,3,9,Stimmt eher,2
28,2021,18,4,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
29,2021,16,3,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3
30,2021,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3
31,2021,17,3,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3
32,2021,17,3,Weiblich,1h-2h,2,4,Stimmt eher,2
33,2021,16,3,Weiblich,3h-4h,4,16,Stimmt eher,2
34,2021,17,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
35,2021,16,3,Maennlich,4h-5h,5,25,Stimmt eher nicht,3
36,2021,16,3,Maennlich,3h-4h,4,16,Stimmt gar nicht,4
37,2021,15,2,Maennlich,1h-2h,2,4,Stimmt eher nicht,3
38,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3
39,2021,17,3,Maennlich,3h-4h,4,16,Stimmt ganz,1
40,2021,19,4,Maennlich,3h-4h,4,16,Stimmt gar nicht,4
41,2021,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3
42,2021,16,3,Maennlich,2h-3h,3,9,Stimmt eher,2
43,2021,16,3,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3
44,2021,17,3,Weiblich,Mehr als 5h,6,36,Stimmt eher,2
45,2021,17,3,Maennlich,4h-5h,5,25,Stimmt eher nicht,3
46,2021,15,2,Maennlich,4h-5h,5,25,Stimmt eher,2
47,2021,16,3,Weiblich,Mehr als 5h,6,36,Stimmt ganz,1
48,2021,16,3,Non-Binaer,Mehr als 5h,6,36,Stimmt eher nicht,3
49,2021,22,5,Maennlich,2h-3h,3,9,Stimmt eher,2
50,2021,14,2,Weiblich,Mehr als 5h,6,36,Stimmt gar nicht,4
51,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher,2
52,2021,17,3,Maennlich,1h-2h,2,4,Stimmt eher nicht,3
53,2021,18,4,Maennlich,Mehr als 5h,6,36,Stimmt gar nicht,4
54,2021,17,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
55,2021,51,6,Weiblich,3h-4h,4,16,Stimmt ganz,1
56,2021,55,6,Maennlich,weniger als 1h,1,1,Stimmt eher,2
57,2021,16,3,Maennlich,1h-2h,2,4,Stimmt eher,2
58,2021,15,2,Maennlich,3h-4h,4,16,Stimmt gar nicht,4
59,2021,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
60,2021,16,3,Weiblich,1h-2h,2,4,Stimmt eher,2
61,2021,15,2,Weiblich,1h-2h,2,4,Stimmt eher,2
62,2021,17,3,Maennlich,3h-4h,4,16,Stimmt eher,2
63,2021,15,2,Maennlich,2h-3h,3,9,Stimmt ganz,1
64,2021,14,2,Maennlich,3h-4h,4,16,Stimmt gar nicht,4
65,2021,47,6,Maennlich,1h-2h,2,4,Stimmt eher,2
66,2021,15,2,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3
67,2021,14,2,Weiblich,1h-2h,2,4,Stimmt eher nicht,3
68,2021,39,6,Maennlich,1h-2h,2,4,Stimmt eher,2
69,2021,15,2,Weiblich,4h-5h,5,25,Stimmt eher nicht,3
70,2021,49,6,Maennlich,2h-3h,3,9,Stimmt eher,2
71,2021,18,4,Maennlich,3h-4h,4,16,Stimmt eher,2
72,2021,15,2,Weiblich,2h-3h,3,9,Stimmt eher,2
73,2021,27,5,Weiblich,weniger als 1h,1,1,Stimmt eher,2
74,2021,29,5,Weiblich,1h-2h,2,4,Stimmt eher,2
75,2021,15,2,Weiblich,1h-2h,2,4,Stimmt ganz,1
76,2021,46,6,Maennlich,1h-2h,2,4,Stimmt eher,2
77,2021,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
78,2021,19,4,Maennlich,2h-3h,3,9,Stimmt ganz,1
79,2021,50,6,Weiblich,2h-3h,3,9,Stimmt eher nicht,3
80,2021,50,6,Weiblich,weniger als 1h,1,1,Stimmt ganz,1
81,2021,52,6,Weiblich,1h-2h,2,4,Stimmt ganz,1
82,2021,53,6,Weiblich,1h-2h,2,4,Stimmt eher nicht,3
83,2021,50,6,Maennlich,1h-2h,2,4,Stimmt eher,2
84,2021,38,6,Weiblich,3h-4h,4,16,Stimmt eher,2
85,2021,15,2,Weiblich,4h-5h,5,25,Stimmt eher,2
86,2021,41,6,Maennlich,2h-3h,3,9,Stimmt eher,2
87,2021,25,5,Weiblich,weniger als 1h,1,1,Stimmt eher,2
88,2021,42,6,Weiblich,1h-2h,2,4,Stimmt eher,2
89,2021,43,6,Weiblich,1h-2h,2,4,Stimmt ganz,1
90,2021,46,6,Maennlich,weniger als 1h,1,1,Stimmt eher,2
91,2021,47,6,Weiblich,1h-2h,2,4,Stimmt ganz,1
92,2021,52,6,Weiblich,weniger als 1h,1,1,Stimmt eher,2
93,2021,17,3,Maennlich,Mehr als 5h,6,36,Stimmt ganz,1
94,2021,29,5,Weiblich,1h-2h,2,4,Stimmt eher nicht,3
95,2021,56,6,Maennlich,weniger als 1h,1,1,Stimmt eher,2
96,2021,26,5,Weiblich,2h-3h,3,9,Stimmt eher,2
97,2021,16,3,Maennlich,4h-5h,5,25,Stimmt eher nicht,3
98,2021,15,2,Weiblich,1h-2h,2,4,Stimmt gar nicht,4
99,2021,16,3,Weiblich,2h-3h,3,9,Stimmt ganz,1
100,2021,15,2,Maennlich,1h-2h,2,4,Stimmt eher nicht,3
101,2021,16,3,Maennlich,4h-5h,5,25,Stimmt eher nicht,3
102,2021,15,2,Maennlich,3h-4h,4,16,Stimmt eher,2
103,2021,16,3,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3
104,2021,16,3,Maennlich,3h-4h,4,16,Stimmt gar nicht,4
105,2021,15,2,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
106,2021,16,3,Weiblich,Mehr als 5h,6,36,Stimmt eher,2
107,2021,16,3,Weiblich,4h-5h,5,25,Stimmt ganz,1
108,2021,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
109,2021,16,3,Maennlich,1h-2h,2,4,Stimmt eher nicht,3
110,2021,15,2,Weiblich,2h-3h,3,9,Stimmt eher nicht,3
111,2021,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3
112,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3
113,2021,15,2,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3
114,2021,15,2,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3
115,2021,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
116,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3
117,2021,15,2,Weiblich,3h-4h,4,16,Stimmt eher nicht,3
118,2021,15,2,Maennlich,3h-4h,4,16,Stimmt eher,2
119,2021,16,3,Maennlich,2h-3h,3,9,Stimmt eher,2
120,2021,15,2,Weiblich,3h-4h,4,16,Stimmt eher,2
121,2021,14,2,Weiblich,1h-2h,2,4,Stimmt eher nicht,3
122,2021,15,2,Weiblich,Mehr als 5h,6,36,Stimmt gar nicht,4
123,2021,17,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
124,2021,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3
125,2021,14,2,Weiblich,3h-4h,4,16,Stimmt eher,2
126,2022,15,2,Weiblich,2h-3h,3,9,Stimmt eher nicht,3
127,2022,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
128,2022,16,3,Weiblich,4h-5h,5,25,Stimmt eher nicht,3
129,2022,16,3,Maennlich,3h-4h,4,16,Stimmt eher,2
130,2022,17,3,null,3h-4h,4,16,Stimmt eher,2
131,2022,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
132,2022,16,3,Maennlich,4h-5h,5,25,Stimmt eher,2
133,2022,17,3,Weiblich,1h-2h,2,4,Stimmt eher nicht,3
134,2022,15,2,Weiblich,2h-3h,3,9,Stimmt eher,2
135,2022,15,2,Weiblich,2h-3h,3,9,Stimmt eher nicht,3
136,2022,17,3,Maennlich,2h-3h,3,9,Stimmt ganz,1
137,2022,19,4,Non-Binaer,4h-5h,5,25,Stimmt eher nicht,3
138,2022,16,3,Non-Binaer,3h-4h,4,16,Stimmt eher nicht,3
139,2022,15,2,Weiblich,4h-5h,5,25,Stimmt eher nicht,3
140,2022,14,2,Non-Binaer,Mehr als 5h,6,36,Stimmt eher nicht,3
141,2022,14,2,Weiblich,3h-4h,4,16,Stimmt eher,2
142,2022,15,2,Weiblich,3h-4h,4,16,Stimmt eher,2
143,2022,14,2,Weiblich,3h-4h,4,16,Stimmt eher,2
144,2022,15,2,Weiblich,3h-4h,4,16,Stimmt eher,2
145,2022,56,6,Maennlich,Mehr als 5h,6,36,Stimmt eher,2
146,2022,15,2,Maennlich,2h-3h,3,9,Stimmt gar nicht,4
147,2022,15,2,Maennlich,Mehr als 5h,6,36,Stimmt eher,2
148,2022,15,2,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
149,2022,15,2,Maennlich,1h-2h,2,4,Stimmt eher nicht,3
150,2022,15,2,null,1h-2h,2,4,Stimmt eher,2
151,2022,15,2,Weiblich,1h-2h,2,4,Stimmt eher,2
152,2022,15,2,Weiblich,2h-3h,3,9,Stimmt eher,2
153,2022,14,2,Maennlich,Mehr als 5h,6,36,Stimmt gar nicht,4
154,2022,15,2,Weiblich,2h-3h,3,9,Stimmt eher,2
155,2022,15,2,Weiblich,3h-4h,4,16,Stimmt eher,2
156,2022,15,2,Maennlich,1h-2h,2,4,Stimmt eher nicht,3
157,2022,15,2,Weiblich,4h-5h,5,25,Stimmt eher,2
158,2022,15,2,Maennlich,1h-2h,2,4,Stimmt eher,2
159,2022,16,3,Weiblich,3h-4h,4,16,Stimmt ganz,1
160,2022,16,3,Weiblich,3h-4h,4,16,Stimmt eher,2
161,2022,16,3,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3
162,2022,15,2,Weiblich,3h-4h,4,16,Stimmt eher,2
163,2022,14,2,Weiblich,2h-3h,3,9,Stimmt eher nicht,3
164,2022,16,3,Weiblich,Mehr als 5h,6,36,Stimmt eher,2
165,2022,16,3,Weiblich,2h-3h,3,9,Stimmt ganz,1
166,2022,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
167,2022,16,3,Maennlich,4h-5h,5,25,Stimmt eher nicht,3
168,2022,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
169,2022,16,3,Maennlich,1h-2h,2,4,Stimmt eher,2
170,2022,15,2,Weiblich,3h-4h,4,16,Stimmt eher nicht,3
171,2022,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
172,2022,16,3,Maennlich,3h-4h,4,16,Stimmt eher,2
173,2022,35,6,Weiblich,Mehr als 5h,6,36,Stimmt eher,2
174,2022,17,3,Maennlich,3h-4h,4,16,Stimmt eher,2
175,2022,16,3,Maennlich,1h-2h,2,4,Stimmt eher,2
176,2022,17,3,Maennlich,2h-3h,3,9,Stimmt gar nicht,4
177,2022,16,3,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3
178,2022,16,3,Weiblich,2h-3h,3,9,Stimmt ganz,1
179,2022,17,3,Weiblich,3h-4h,4,16,Stimmt gar nicht,4
180,2022,16,3,Weiblich,3h-4h,4,16,Stimmt eher,2
181,2022,18,4,Maennlich,Mehr als 5h,6,36,Stimmt eher,2
182,2022,17,3,Non-Binaer,3h-4h,4,16,Stimmt eher,2
183,2022,16,3,Non-Binaer,2h-3h,3,9,Stimmt eher,2
184,2022,16,3,Maennlich,1h-2h,2,4,Stimmt eher,2
185,2022,16,3,Weiblich,4h-5h,5,25,Stimmt eher,2
186,2022,17,3,Maennlich,1h-2h,2,4,Stimmt eher,2
187,2022,16,3,Weiblich,4h-5h,5,25,Stimmt eher nicht,3
188,2022,16,3,Weiblich,3h-4h,4,16,Stimmt ganz,1
189,2022,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
190,2022,15,2,Weiblich,weniger als 1h,1,1,Stimmt eher,2
191,2022,17,3,Weiblich,4h-5h,5,25,Stimmt eher nicht,3
192,2022,15,2,Weiblich,2h-3h,3,9,Stimmt eher,2
193,2022,55,6,Maennlich,1h-2h,2,4,Stimmt eher nicht,3
194,2022,24,5,Weiblich,2h-3h,3,9,Stimmt eher nicht,3
195,2022,16,3,Weiblich,1h-2h,2,4,Stimmt eher,2
196,2022,14,2,Maennlich,1h-2h,2,4,Stimmt ganz,1
197,2022,49,6,Weiblich,1h-2h,2,4,Stimmt gar nicht,4