id,jahr,alter,kategoriealter,geschlecht,nutzt-whatsapp,bsz,bszkat,bszkat2,Mein Smartphone liegt auch beim Schlafen immer in Griffweite,Griffweite,Ich kann auch gut mal einen Tag ohne Smartphone klar kommen,verzicht-kat,tiktok,tiktok-vertrauen,tiktok-nutzt,tiktok-vertr-nutzt,Informationsquelle,social-informiert,Ich mache mir Sorgen um meine Daten,sorgenbarometer,sorgenbarometer-geschlecht,sorgenbarometer-alter,Ich loesche meine Cookies regelmaessig,cookies,Fuer wie viel Geld mindestens wuerden sie all ihre Geraete eine Woche gar nicht benutzen?,Wieviel wuerden Sie einmalig bezahlen, um Ihre Lieblings Social Media Apps und Messenger noch nutzen zu koennen?,bezahlen,seriositaet
6,2021,16,3,Weiblich,1,2h-3h,3,9,Nein,4,Stimmt,1,Nein,2,2,4,Eher nein,2,Stimmt eher,2,3,1,Stimmt gar nicht,3,20 CHF,Ich wuerde auf die App verzichten,0,2
8,2021,16,3,Maennlich,1,4h-5h,5,25,eher Nein,3,Stimmt,1,Nein,2,2,4,Eher nein,2,Stimmt eher,2,1,1,Stimmt ganz,1,ueber 100 CHF,Ich wuerde auf die App verzichten,0,1
13,2021,21,5,Maennlich,1,3h-4h,4,16,eher Ja,2,Stimmt,1,Nein,2,2,4,Ich brauche Social Media nie,3,Stimmt eher nicht,3,2,4,Stimmt eher,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
20,2021,16,3,Weiblich,1,2h-3h,3,9,Ja,1,Stimmt,1,Nein,2,1,3,Nein,3,Stimmt eher,2,3,1,Stimmt eher,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
23,2021,17,3,Weiblich,1,1h-2h,2,4,Nein,4,Stimmt,1,Weiss nicht,3,2,5,Eher nein,2,Stimmt eher,2,3,1,Stimmt eher,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,1
27,2021,17,3,Weiblich,1,2h-3h,3,9,Ja,1,Stimmt,1,Ja,1,1,1,Ja,1,Stimmt eher,2,3,1,Stimmt eher nicht,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
39,2021,17,3,Maennlich,1,3h-4h,4,16,eher Ja,2,Stimmt,1,Nein,2,2,4,Nein,3,Stimmt ganz,1,1,1,Stimmt eher nicht,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,3
49,2021,22,5,Maennlich,2,2h-3h,3,9,eher Nein,3,Stimmt eher ,2,Nein,2,2,4,Ja,1,Stimmt eher,2,1,3,Stimmt eher,2,50 CHF,Ich wuerde auf die App verzichten,0,5
53,2021,18,4,Maennlich,1,Mehr als 5h,6,36,Ja,1,Stimmt eher nicht,3,Ja,1,2,2,Ja,1,Stimmt gar nicht,4,2,2,Stimmt eher nicht,2,ueber 100 CHF,Ich wuerde auf die App verzichten,0,3
54,2021,17,3,Maennlich,1,2h-3h,3,9,Ja,1,Stimmt eher ,2,Ja,1,1,1,Ja,1,Stimmt eher nicht,3,2,2,Stimmt eher,2,20 CHF,Ich wuerde auf die App verzichten,0,2
55,2021,51,6,Weiblich,1,3h-4h,4,16,eher Ja,2,Stimmt eher ,2,Weiss nicht,3,2,5,Eher nein,2,Stimmt ganz,1,3,3,Stimmt eher,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,1
56,2021,55,6,Maennlich,1,weniger als 1h,1,1,eher Nein,3,Stimmt eher nicht,3,Weiss nicht,3,2,5,Ja,1,Stimmt eher,2,1,3,Stimmt ganz,1,ueber 100 CHF,Ich wuerde auf die App verzichten,0,1
60,2021,16,3,Weiblich,1,1h-2h,2,4,Nein,4,Stimmt eher ,2,eher Nein,2,2,4,Eher nein,2,Stimmt eher,2,3,1,Stimmt eher nicht,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,1
61,2021,15,2,Weiblich,1,1h-2h,2,4,eher Ja,2,Stimmt,1,Nein,2,2,4,Ja,1,Stimmt eher,2,3,1,Stimmt eher,2,10 CHF,Ich wuerde auf die App verzichten,0,1
63,2021,15,2,Maennlich,1,2h-3h,3,9,eher Ja,2,Stimmt,1,Nein,2,2,4,Eher Ja,2,Stimmt ganz,1,1,1,Stimmt ganz,1,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
65,2021,47,6,Maennlich,1,1h-2h,2,4,Nein,4,Stimmt eher nicht,3,Nein,2,2,4,Ja,1,Stimmt eher,2,1,3,Stimmt eher,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,1
70,2021,49,6,Maennlich,1,2h-3h,3,9,eher Nein,3,Stimmt,1,Weiss nicht,3,2,5,Eher Ja,2,Stimmt eher,2,1,3,Stimmt ganz,1,100 CHF,Ich wuerde auf die App verzichten,0,1
71,2021,18,4,Maennlich,1,3h-4h,4,16,eher Ja,2,Stimmt eher ,2,Nein,2,1,3,Eher nein,2,Stimmt eher,2,1,1,Stimmt eher,2,20 CHF,Ich wuerde auf die App verzichten,0,3
73,2021,27,5,Weiblich,1,weniger als 1h,1,1,eher Ja,2,Stimmt,1,Weiss nicht,3,2,5,Eher Ja,2,Stimmt eher,2,3,3,Stimmt eher nicht,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,3
78,2021,19,4,Maennlich,1,2h-3h,3,9,eher Nein,3,Stimmt eher ,2,Nein,2,2,4,Eher nein,2,Stimmt ganz,1,1,1,Stimmt eher,2,50 CHF,Ich wuerde auf die App verzichten,0,1
79,2021,50,6,Weiblich,1,2h-3h,3,9,Ja,1,Stimmt nicht,4,Weiss nicht,3,2,5,Ja,1,Stimmt eher nicht,3,4,4,Stimmt eher,2,ueber 100 CHF,Ich wuerde auf die App verzichten,0,1
80,2021,50,6,Weiblich,1,weniger als 1h,1,1,Ja,1,Stimmt eher nicht,3,Weiss nicht,3,2,5,Ja,1,Stimmt ganz,1,3,3,Stimmt eher nicht,2,ueber 100 CHF,Ich wuerde auf die App verzichten,0,2
81,2021,52,6,Weiblich,1,1h-2h,2,4,eher Ja,2,Stimmt eher nicht,3,Weiss nicht,3,2,5,Ja,1,Stimmt ganz,1,3,3,Stimmt ganz,1,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
87,2021,25,5,Weiblich,1,weniger als 1h,1,1,eher Ja,2,Stimmt,1,Weiss nicht,3,2,5,Eher nein,2,Stimmt eher,2,3,3,Stimmt eher nicht,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,4
88,2021,42,6,Weiblich,1,1h-2h,2,4,eher Nein,3,Stimmt eher ,2,Weiss nicht,3,2,5,Nein,3,Stimmt eher,2,3,3,Stimmt gar nicht,3,100 CHF,Ich wuerde auf die App verzichten,0,1
89,2021,43,6,Weiblich,1,1h-2h,2,4,Ja,1,Stimmt,1,Nein,2,2,4,Eher Ja,2,Stimmt ganz,1,3,3,Stimmt ganz,1,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,6
92,2021,52,6,Weiblich,1,weniger als 1h,1,1,Ja,1,Stimmt,1,Weiss nicht,3,2,5,Ja,1,Stimmt eher,2,3,3,Stimmt gar nicht,3,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
95,2021,56,6,Maennlich,1,weniger als 1h,1,1,Nein,4,Stimmt eher ,2,Weiss nicht,3,2,5,Ja,1,Stimmt eher,2,1,3,Stimmt eher nicht,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,1
99,2021,16,3,Weiblich,1,2h-3h,3,9,eher Ja,2,Stimmt,1,eher Ja,1,1,1,Eher Ja,2,Stimmt ganz,1,3,1,Stimmt ganz,1,50 CHF,Ich wuerde auf die App verzichten,0,1
103,2021,16,3,Weiblich,1,Mehr als 5h,6,36,Ja,1,Stimmt,1,Ja,1,1,1,Ja,1,Stimmt eher nicht,3,4,2,Stimmt gar nicht,3,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
104,2021,16,3,Maennlich,1,3h-4h,4,16,eher Nein,3,Stimmt eher nicht,3,Nein,2,2,4,Nein,3,Stimmt gar nicht,4,2,2,Stimmt gar nicht,3,50 CHF,Ich wuerde auf die App verzichten,0,3
107,2021,16,3,Weiblich,1,4h-5h,5,25,Nein,4,Stimmt eher nicht,3,Nein,2,2,4,Eher Ja,2,Stimmt ganz,1,3,1,Stimmt gar nicht,3,ueber 100 CHF,Ich wuerde auf die App verzichten,0,2
109,2021,16,3,Maennlich,1,1h-2h,2,4,Ja,1,Stimmt eher nicht,3,eher Nein,2,2,4,Ja,1,Stimmt eher nicht,3,2,2,Stimmt eher,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,1
113,2021,15,2,Maennlich,1,Mehr als 5h,6,36,Ja,1,Stimmt eher nicht,3,eher Nein,2,2,4,Eher Ja,2,Stimmt eher nicht,3,2,2,Stimmt eher nicht,2,ueber 100 CHF,Ich wuerde auf die App verzichten,0,2
114,2021,15,2,Maennlich,1,Mehr als 5h,6,36,Ja,1,Stimmt,1,Ja,1,1,1,Ja,1,Stimmt eher nicht,3,2,2,Stimmt gar nicht,3,20 CHF,Ich wuerde auf die App verzichten,0,2
119,2021,16,3,Maennlich,1,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,Nein,2,2,4,Ja,1,Stimmt eher,2,1,1,Stimmt gar nicht,3,50 CHF,Ich wuerde auf die App verzichten,0,2
120,2021,15,2,Weiblich,1,3h-4h,4,16,Nein,4,Stimmt,1,Weiss nicht,3,2,5,Eher Ja,2,Stimmt eher,2,3,1,Stimmt gar nicht,3,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
123,2021,17,3,Maennlich,1,3h-4h,4,16,Nein,4,Stimmt,1,Nein,2,2,4,Eher Ja,2,Stimmt eher nicht,3,2,2,Stimmt ganz,1,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,3
124,2021,16,3,Weiblich,1,3h-4h,4,16,Ja,1,Stimmt eher ,2,eher Ja,1,2,2,Ja,1,Stimmt eher nicht,3,4,2,Stimmt eher nicht,2,ueber 100 CHF,Ich wuerde auf die App verzichten,0,2
125,2021,14,2,Weiblich,1,3h-4h,4,16,Nein,4,Stimmt eher ,2,eher Ja,1,1,1,Ja,1,Stimmt eher,2,3,1,Stimmt eher nicht,2,ueber 100 CHF,Ich wuerde auf die App verzichten,0,2
126,2022,15,2,Weiblich,1,2h-3h,3,9,Ja,1,Stimmt eher nicht,3,Weiss nicht,3,1,5,Ja,1,Stimmt eher nicht,3,4,2,Stimmt eher nicht,2,ueber 100 CHF,Ich wuerde auf die App verzichten,0,2
127,2022,16,3,Maennlich,1,2h-3h,3,9,eher Nein,3,Stimmt eher ,2,Weiss nicht,3,2,5,Ja,1,Stimmt eher nicht,3,2,2,Stimmt eher,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
128,2022,16,3,Weiblich,1,4h-5h,5,25,Ja,1,Stimmt,1,eher Ja,1,1,1,Eher nein,2,Stimmt eher nicht,3,4,2,Stimmt gar nicht,3,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,3
131,2022,16,3,Maennlich,1,2h-3h,3,9,eher Ja,2,Stimmt,1,Nein,2,2,4,Ja,1,Stimmt eher nicht,3,2,2,Stimmt gar nicht,3,100 CHF,Ich wuerde auf die App verzichten,0,3
132,2022,16,3,Maennlich,1,4h-5h,5,25,Ja,1,Stimmt,1,Nein,2,1,3,Eher nein,2,Stimmt eher,2,1,1,Stimmt eher nicht,2,5 CHF,Ich wuerde auf die App verzichten,0,1
133,2022,17,3,Weiblich,1,1h-2h,2,4,Ja,1,Stimmt,1,Nein,2,2,4,Ja,1,Stimmt eher nicht,3,4,2,Stimmt gar nicht,3,ueber 100 CHF,Ich wuerde auf die App verzichten,0,3
136,2022,17,3,Maennlich,1,2h-3h,3,9,Ja,1,Stimmt eher nicht,3,eher Nein,2,2,4,Ja,1,Stimmt ganz,1,1,1,Stimmt eher nicht,2,100 CHF,Ich wuerde auf die App verzichten,0,2
138,2022,16,3,Non-Binaer,2,3h-4h,4,16,eher Ja,2,Stimmt eher ,2,Nein,2,2,4,Nein,3,Stimmt eher nicht,3,5,2,Stimmt eher,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
145,2022,56,6,Maennlich,1,Mehr als 5h,6,36,eher Ja,2,Stimmt,1,Nein,2,2,4,Eher Ja,2,Stimmt eher,2,1,3,Stimmt ganz,1,50 CHF,Ich wuerde auf die App verzichten,0,2
153,2022,14,2,Maennlich,1,Mehr als 5h,6,36,Ja,1,Stimmt,1,Nein,2,1,3,Ja,1,Stimmt gar nicht,4,2,2,Stimmt gar nicht,3,ueber 100 CHF,Ich wuerde auf die App verzichten,0,2
154,2022,15,2,Weiblich,1,2h-3h,3,9,eher Nein,3,Stimmt,1,Weiss nicht,3,2,5,Eher Ja,2,Stimmt eher,2,3,1,Stimmt gar nicht,3,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,1
165,2022,16,3,Weiblich,1,2h-3h,3,9,eher Ja,2,Stimmt,1,eher Ja,1,1,1,Eher nein,2,Stimmt ganz,1,3,1,Stimmt gar nicht,3,ueber 100 CHF,Ich wuerde auf die App verzichten,0,1
170,2022,15,2,Weiblich,1,3h-4h,4,16,Nein,4,Stimmt,1,Nein,2,1,3,Eher nein,2,Stimmt eher nicht,3,4,2,Stimmt gar nicht,3,ueber 100 CHF,Ich wuerde auf die App verzichten,0,2
172,2022,16,3,Maennlich,1,3h-4h,4,16,eher Ja,2,Stimmt,1,Nein,2,2,4,Ja,1,Stimmt eher,2,1,1,Stimmt gar nicht,3,5 CHF,Ich wuerde auf die App verzichten,0,1
173,2022,35,6,Weiblich,1,Mehr als 5h,6,36,Ja,1,Stimmt eher nicht,3,eher Ja,1,1,1,Ja,1,Stimmt eher,2,3,3,Stimmt gar nicht,3,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,3
175,2022,16,3,Maennlich,1,1h-2h,2,4,Nein,4,Stimmt,1,Nein,2,2,4,Eher nein,2,Stimmt eher,2,1,1,Stimmt ganz,1,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
177,2022,16,3,Maennlich,1,Mehr als 5h,6,36,Ja,1,Stimmt,1,Nein,2,1,3,Ja,1,Stimmt eher nicht,3,2,2,Stimmt eher,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
179,2022,17,3,Weiblich,1,3h-4h,4,16,eher Ja,2,Stimmt eher ,2,eher Nein,2,1,3,Ja,1,Stimmt gar nicht,4,4,2,Stimmt eher nicht,2,100 CHF,Ich wuerde auf die App verzichten,0,3
181,2022,18,4,Maennlich,1,Mehr als 5h,6,36,Ja,1,Stimmt eher ,2,Nein,2,2,4,Ja,1,Stimmt eher,2,1,1,Stimmt eher,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,4
182,2022,17,3,Non-Binaer,1,3h-4h,4,16,eher Nein,3,Stimmt eher nicht,3,Nein,2,2,4,Eher Ja,2,Stimmt eher,2,5,1,Stimmt eher,2,50 CHF,Ich wuerde auf die App verzichten,0,2
190,2022,15,2,Weiblich,1,weniger als 1h,1,1,Nein,4,Stimmt,1,Weiss nicht,3,2,5,Nein,3,Stimmt eher,2,3,1,Stimmt gar nicht,3,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,1
195,2022,16,3,Weiblich,1,1h-2h,2,4,Nein,4,Stimmt,1,Weiss nicht,3,2,5,Ja,1,Stimmt eher,2,3,1,Stimmt eher nicht,2,100 CHF,Ich wuerde auf die App verzichten,0,2
197,2022,49,6,Weiblich,1,1h-2h,2,4,Nein,4,Stimmt,1,Nein,2,2,4,Eher Ja,2,Stimmt gar nicht,4,4,4,Stimmt gar nicht,3,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
206,2023,32,6,Maennlich,1,Mehr als 5h,6,36,Ja,1,Stimmt,1,Nein,2,2,4,Ja,1,Stimmt eher,2,1,3,Stimmt eher nicht,2,20 CHF,Ich wuerde auf die App verzichten,0,1
210,2023,14,2,Weiblich,1,weniger als 1h,1,1,Nein,4,Stimmt eher ,2,Nein,2,2,4,Nein,3,Stimmt eher nicht,3,4,2,Stimmt gar nicht,3,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
215,2023,14,2,Weiblich,1,3h-4h,4,16,Ja,1,Stimmt eher ,2,Nein,2,2,4,Eher nein,2,Stimmt eher nicht,3,4,2,Stimmt gar nicht,3,ueber  100 CHF,Ich wuerde auf die App verzichten,0,3
222,2023,16,3,Maennlich,1,1h-2h,2,4,eher Ja,2,Stimmt,1,Nein,2,1,3,Ja,1,Stimmt eher,2,1,1,Stimmt eher,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,1
224,2023,16,3,Weiblich,1,3h-4h,4,16,Nein,4,Stimmt,1,eher Nein,2,1,3,Eher Ja,2,Stimmt gar nicht,4,4,2,Stimmt gar nicht,3,ueber  100 CHF,Ich wuerde auf die App verzichten,0,2
232,2023,17,3,Maennlich,1,4h-5h,5,25,eher Nein,3,Stimmt,1,Nein,2,2,4,Eher Ja,2,Stimmt eher,2,1,1,Stimmt eher nicht,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
251,2023,17,3,Weiblich,1,3h-4h,4,16,Ja,1,Stimmt eher ,2,eher Nein,2,2,4,Nein,3,Stimmt eher nicht,3,4,2,Stimmt gar nicht,3,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,1
253,2023,19,4,Weiblich,1,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,Nein,2,2,4,Eher nein,2,Stimmt ganz,1,3,1,Stimmt eher nicht,2,100 CHF,Ich wuerde auf die App verzichten,0,1
257,2023,20,5,Weiblich,1,weniger als 1h,1,1,eher Ja,2,Stimmt,1,Nein,2,2,4,Nein,3,Stimmt eher,2,3,3,Stimmt gar nicht,3,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
264,2023,16,3,Maennlich,2,3h-4h,4,16,eher Ja,2,Stimmt eher ,2,Nein,2,2,4,Eher nein,2,Stimmt eher,2,1,1,Stimmt ganz,1,ueber  100 CHF,Ich wuerde auf die App verzichten,0,2
266,2023,16,3,Maennlich,1,4h-5h,5,25,Nein,4,Stimmt,1,Nein,2,2,4,Eher Ja,2,Stimmt ganz,1,1,1,Stimmt gar nicht,3,ueber  100 CHF,Ich wuerde auf die App verzichten,0,1
269,2023,16,3,Maennlich,1,1h-2h,2,4,eher Ja,2,Stimmt,1,Nein,2,2,4,Ja,1,Stimmt eher,2,1,1,Stimmt eher,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
273,2023,17,3,Weiblich,1,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,eher Nein,2,1,3,Eher Ja,2,Stimmt eher,2,3,1,Stimmt eher nicht,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
276,2023,14,2,Maennlich,1,2h-3h,3,9,eher Ja,2,Stimmt,1,Nein,2,2,4,Nein,3,Stimmt eher nicht,3,2,2,Stimmt eher,2,Wuerde ich auch gratis machen,Ich wuerde auf die App verzichten,0,2
277,2023,15,2,Maennlich,1,Mehr als 5h,6,36,eher Ja,2,Stimmt,1,eher Nein,2,1,3,Eher Ja,2,Stimmt ganz,1,1,1,Stimmt eher,2,ueber  100 CHF,Ich wuerde auf die App verzichten,0,3
280,2023,16,3,Maennlich,1,2h-3h,3,9,eher Ja,2,Stimmt,1,eher Nein,2,2,4,Eher nein,2,Stimmt eher,2,1,1,Stimmt gar nicht,3,10 CHF,Ich wuerde auf die App verzichten,0,2
281,2023,16,3,Weiblich,1,Mehr als 5h,6,36,Nein,4,Stimmt eher nicht,3,Nein,2,1,3,Eher Ja,2,Stimmt eher nicht,3,4,2,Stimmt eher nicht,2,50 CHF,Ich wuerde auf die App verzichten,0,3
283,2023,15,2,Weiblich,1,Mehr als 5h,6,36,Nein,4,Stimmt eher nicht,3,Nein,2,1,3,Eher nein,2,Stimmt eher nicht,3,4,2,Stimmt gar nicht,3,100 CHF,Ich wuerde auf die App verzichten,0,1
286,2024,17,3,Weiblich,1,2h-3h,3,9,Nein,4,Stimmt eher ,2,Nein,2,2,4,Nein,3,Stimmt eher,2,3,1,Stimmt gar nicht,3,ueber  100 CHF,Ich wuerde auf die App verzichten,0,1
